cr286_balancingfr5id,cr286_end_date1,cr286_fr_balance,cr286_imbalance,importsequencenumber,cr286_negative_imbalance_settlement_price,cr286_positive_imbalance_settlement_price,cr286_start_date1,statuscode,statecode,cr286_system_trend,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,createdonbehalfby.azureactivedirectoryobjectid,createdby.azureactivedirectoryobjectid,modifiedonbehalfby.azureactivedirectoryobjectid,modifiedby.azureactivedirectoryobjectid
7acb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 3:00:00 PM,6538,,,6326,5724,1/2/2021 2:30:00 PM,Active,Active,HAUSSE,4,,4547683,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
77cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 3:30:00 PM,6537,,,6708,607,1/2/2021 3:00:00 PM,Active,Active,HAUSSE,4,,4547682,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
78cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 4:00:00 PM,6536,,,6491,5873,1/2/2021 3:30:00 PM,Active,Active,HAUSSE,4,,4547681,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
2bbe44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 5:00:00 PM,6535,,,7345,6645,1/2/2021 4:30:00 PM,Active,Active,HAUSSE,4,,4547680,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
2abe44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 4:30:00 PM,6534,,,7629,6903,1/2/2021 4:00:00 PM,Active,Active,HAUSSE,4,,4547679,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
29be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 5:30:00 PM,6533,,,607,5492,1/2/2021 5:00:00 PM,Active,Active,BAISSE,4,,4547678,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
28be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 6:00:00 PM,6532,,,7141,6461,1/2/2021 5:30:00 PM,Active,Active,HAUSSE,4,,4547677,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
27be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 6:30:00 PM,6531,,,6791,6145,1/2/2021 6:00:00 PM,Active,Active,HAUSSE,4,,4547676,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
26be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 7:00:00 PM,6530,,,6195,5605,1/2/2021 6:30:00 PM,Active,Active,BAISSE,4,,4547674,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
25be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 7:30:00 PM,6529,,,6893,6237,1/2/2021 7:00:00 PM,Active,Active,HAUSSE,4,,4547673,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
